# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-20 07:36:01 UTC;1971256;6374604;833704;10.99;139972;4254416;3226244;38.92;1780560;3384472;428
george;60;2021-09-20 07:37:01 UTC;1972192;6376068;832380;10.97;139972;4254808;3225688;38.92;1779332;3384992;680
george;60;2021-09-20 07:38:01 UTC;1966892;6371116;837428;11.04;139972;4255080;3239528;39.08;1785396;3385328;664
george;60;2021-09-20 07:39:01 UTC;1967436;6372056;836596;11.03;139972;4255344;3238400;39.07;1783344;3385720;372
george;60;2021-09-20 07:40:01 UTC;1966868;6371800;836804;11.03;139972;4255620;3228904;38.95;1783004;3386024;464
george;60;2021-09-20 07:41:01 UTC;1968128;6373252;835688;11.02;139972;4255748;3243668;39.13;1782184;3386220;712
george;60;2021-09-20 07:42:01 UTC;1967428;6372944;836000;11.02;139972;4256140;3235164;39.03;1783228;3386612;556
george;60;2021-09-20 07:43:01 UTC;1959860;6365852;843164;11.12;139972;4256540;3234068;39.02;1791576;3387076;480
george;60;2021-09-20 07:44:01 UTC;1962892;6369184;839608;11.07;139972;4256804;3233016;39.00;1786524;3387372;456
george;60;2021-09-20 07:45:01 UTC;1959860;6366596;842272;11.10;139972;4257208;3231544;38.99;1789396;3387808;920
george;60;2021-09-20 07:46:01 UTC;1974404;6381596;827352;10.91;139972;4257596;3231356;38.98;1774732;3388260;356
george;60;2021-09-20 07:47:01 UTC;1968144;6375676;833428;10.99;139972;4257872;3221848;38.87;1781720;3388588;788
george;60;2021-09-20 07:48:01 UTC;1961348;6369024;839968;11.07;139972;4258012;3235720;39.04;1787600;3388728;640
george;60;2021-09-20 07:49:01 UTC;1965916;6373864;835244;11.01;139972;4258276;3235584;39.04;1782120;3388992;464
george;60;2021-09-20 07:50:02 UTC;1960868;6369120;840012;11.07;139972;4258540;3234188;39.02;1786780;3389292;476
george;59;2021-09-20 07:51:01 UTC;1961088;6369748;839392;11.07;139972;4258940;3234064;39.02;1786356;3389688;312
george;60;2021-09-20 07:52:01 UTC;1960616;6369576;839488;11.07;139972;4259204;3233944;39.02;1786448;3389980;160
george;60;2021-09-20 07:53:01 UTC;1954064;6363388;845628;11.15;139972;4259600;3240244;39.09;1793900;3390336;416
george;60;2021-09-20 07:54:01 UTC;1960364;6369880;839140;11.06;139972;4259740;3231876;38.99;1786636;3390524;384
