# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-20 11:42:01 UTC;2039348;6964488;255832;3.37;144660;4735184;1623792;19.59;1253860;3824008;476
george;60;2021-09-20 11:43:01 UTC;2020148;6946072;274404;3.62;144668;4735592;1810660;21.84;1272884;3824696;824
george;60;2021-09-20 11:44:01 UTC;2057484;6983680;239844;3.16;144668;4735840;1595260;19.25;1238000;3824768;600
george;60;2021-09-20 11:45:01 UTC;2053916;6980396;243044;3.20;144672;4736108;1600504;19.31;1242400;3825036;256
george;60;2021-09-20 11:46:01 UTC;2053404;6980164;243304;3.21;144672;4736380;1599676;19.30;1241460;3825308;560
george;60;2021-09-20 11:47:01 UTC;2054208;6981360;242144;3.19;144672;4736768;1606448;19.38;1241880;3825696;448
george;60;2021-09-20 11:48:01 UTC;2044884;6972188;251420;3.31;144672;4736908;1612568;19.45;1250824;3825836;480
george;60;2021-09-20 11:49:01 UTC;2055872;6983448;240008;3.16;144672;4737176;1613332;19.46;1240272;3826104;408
george;60;2021-09-20 11:50:01 UTC;2046552;6974536;249052;3.28;144672;4737572;1610640;19.43;1248544;3826500;604
george;60;2021-09-20 11:51:01 UTC;2061672;6990108;233660;3.08;144672;4737964;1602056;19.33;1232880;3826944;488
george;60;2021-09-20 11:52:01 UTC;2052884;6981596;242168;3.19;144672;4738236;1605892;19.37;1241712;3827216;732
george;60;2021-09-20 11:53:02 UTC;2057380;6986360;237164;3.13;144672;4738496;1612132;19.45;1235800;3827476;464
george;59;2021-09-20 11:54:01 UTC;2053380;6982512;241020;3.18;144672;4738640;1616736;19.50;1240188;3827624;564
george;60;2021-09-20 11:55:01 UTC;2054096;6983504;239928;3.16;144672;4738908;1623264;19.58;1238824;3827888;348
george;60;2021-09-20 11:56:01 UTC;2051592;6981404;242168;3.19;144676;4739300;1621208;19.56;1240748;3828280;272
george;60;2021-09-20 11:57:01 UTC;2043772;6973864;249644;3.29;144676;4739572;1626584;19.62;1249572;3828552;552
george;60;2021-09-20 11:58:01 UTC;2049064;6979564;243904;3.22;144676;4739968;1626700;19.63;1241552;3828948;520
george;60;2021-09-20 11:59:01 UTC;2045008;6975776;247768;3.27;144676;4740232;1616952;19.51;1246744;3829212;204
george;60;2021-09-20 12:00:01 UTC;2041904;6973292;250416;3.30;144676;4740628;1630596;19.67;1248184;3829828;596
george;60;2021-09-20 12:01:01 UTC;2041732;6973312;250448;3.30;144676;4740808;1634888;19.72;1248860;3830012;568
george;60;2021-09-20 12:02:01 UTC;2033132;6964988;258660;3.41;144676;4741080;1625132;19.61;1257744;3830284;680
george;60;2021-09-20 12:03:01 UTC;2051676;6983808;239852;3.16;144676;4741348;1614724;19.48;1238340;3830548;248
george;60;2021-09-20 12:04:01 UTC;2045156;6977692;246004;3.24;144676;4741740;1629212;19.66;1244716;3830936;364
george;60;2021-09-20 12:05:01 UTC;2048764;6981584;241904;3.19;144676;4742008;1620204;19.55;1239936;3831208;300
george;60;2021-09-20 12:06:01 UTC;2044984;6978200;245588;3.24;144676;4742396;1626748;19.63;1244232;3831600;524
george;60;2021-09-20 12:07:01 UTC;2035124;6968484;255220;3.36;144676;4742532;1624380;19.60;1253672;3831732;752
george;60;2021-09-20 12:08:01 UTC;2044984;6978628;244812;3.23;144676;4742804;1629816;19.66;1242708;3832004;256
george;60;2021-09-20 12:09:01 UTC;2039448;6973496;250144;3.30;144676;4743196;1626752;19.63;1248976;3832400;600
george;60;2021-09-20 12:10:01 UTC;2042920;6977268;246272;3.25;144676;4743476;1624876;19.60;1243700;3832680;452
george;60;2021-09-20 12:11:01 UTC;2037660;6972296;251328;3.31;144676;4743748;1624028;19.59;1248696;3832944;316
george;60;2021-09-20 12:12:01 UTC;2046228;6981136;242416;3.20;144676;4744008;1623848;19.59;1241048;3833208;580
george;60;2021-09-20 12:13:01 UTC;2044920;6980104;243384;3.21;144676;4744276;1614208;19.47;1241068;3833476;488
george;60;2021-09-20 12:14:01 UTC;2038904;6974496;248952;3.28;144676;4744672;1618724;19.53;1247296;3833872;396
george;60;2021-09-20 12:15:01 UTC;2032848;6968708;255108;3.36;144676;4744932;1633336;19.71;1253316;3834132;272
george;60;2021-09-20 12:16:01 UTC;2024548;6960688;263056;3.47;144676;4745204;1637560;19.76;1262216;3834400;672
george;60;2021-09-20 12:17:01 UTC;2039124;6975532;248244;3.27;144676;4745464;1635176;19.73;1245940;3834664;516
george;60;2021-09-20 12:18:01 UTC;2039172;6975976;247848;3.27;144676;4745868;1632160;19.69;1245772;3835068;312
george;60;2021-09-20 12:19:01 UTC;2031564;6968652;254884;3.36;144676;4746132;1630492;19.67;1253332;3835332;368
george;60;2021-09-20 12:20:01 UTC;2037108;6974476;249152;3.28;144676;4746396;1629760;19.66;1247628;3835596;356
george;60;2021-09-20 12:21:01 UTC;2033604;6971112;252504;3.33;144676;4746536;1630056;19.67;1250900;3835736;448
george;60;2021-09-20 12:22:01 UTC;2042432;6980348;243264;3.21;144676;4746932;1622656;19.58;1241436;3836132;648
george;60;2021-09-20 12:23:01 UTC;2041660;6979980;243772;3.21;144676;4747324;1619636;19.54;1241464;3836524;392
george;60;2021-09-20 12:24:01 UTC;2035692;6974288;249360;3.29;144676;4747596;1632916;19.70;1247500;3836796;304
george;60;2021-09-20 12:25:01 UTC;2036692;6975560;248212;3.27;144676;4747860;1631792;19.69;1246096;3837060;280
george;60;2021-09-20 12:26:01 UTC;2034676;6973816;249896;3.29;144676;4748132;1629852;19.66;1248584;3837332;752
