# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;184467440737095516;2021-09-20 00:00:01 UTC;-1;0.00;0.00;0.00;0.16;0.00;99.84
george;60;2021-09-20 00:01:01 UTC;-1;2.97;0.00;2.32;0.29;0.05;94.37
george;60;2021-09-20 00:02:02 UTC;-1;3.02;0.00;2.27;0.24;0.08;94.38
george;59;2021-09-20 00:03:01 UTC;-1;2.91;0.00;2.42;0.19;0.07;94.42
george;60;2021-09-20 00:04:01 UTC;-1;3.11;0.00;2.48;0.16;0.07;94.19
george;60;2021-09-20 00:05:01 UTC;-1;2.84;0.00;2.14;0.31;0.07;94.65
george;60;2021-09-20 00:06:01 UTC;-1;2.91;0.00;2.32;0.23;0.08;94.46
george;60;2021-09-20 00:07:01 UTC;-1;3.03;0.00;2.31;0.19;0.05;94.42
george;60;2021-09-20 00:08:01 UTC;-1;3.08;0.00;2.42;0.18;0.08;94.24
george;60;2021-09-20 00:09:01 UTC;-1;2.73;0.00;2.24;0.17;0.07;94.78
george;60;2021-09-20 00:10:01 UTC;-1;2.80;0.00;2.28;0.16;0.06;94.70
george;60;2021-09-20 00:11:01 UTC;-1;3.05;0.00;2.40;0.24;0.06;94.24
george;60;2021-09-20 00:12:01 UTC;-1;2.96;0.00;2.43;0.23;0.06;94.31
george;60;2021-09-20 00:13:01 UTC;-1;2.83;0.00;2.28;0.18;0.08;94.62
george;60;2021-09-20 00:14:01 UTC;-1;3.04;0.00;2.47;0.29;0.07;94.14
george;60;2021-09-20 00:15:01 UTC;-1;3.08;0.00;2.43;0.18;0.06;94.25
george;60;2021-09-20 00:16:01 UTC;-1;2.92;0.00;2.25;0.21;0.08;94.55
george;60;2021-09-20 00:17:01 UTC;-1;2.86;0.00;2.19;0.22;0.06;94.67
george;60;2021-09-20 00:18:01 UTC;-1;2.80;0.00;2.17;0.19;0.07;94.78
george;60;2021-09-20 00:19:01 UTC;-1;3.12;0.00;2.45;0.18;0.05;94.20
george;60;2021-09-20 00:20:01 UTC;-1;2.84;0.00;2.29;0.50;0.10;94.27
george;60;2021-09-20 00:21:01 UTC;-1;2.79;0.00;2.34;0.15;0.07;94.65
george;60;2021-09-20 00:22:01 UTC;-1;2.96;0.00;2.24;0.24;0.07;94.48
george;60;2021-09-20 00:23:01 UTC;-1;3.06;0.00;2.42;0.19;0.06;94.27
george;60;2021-09-20 00:24:01 UTC;-1;2.67;0.00;2.28;0.17;0.07;94.82
george;60;2021-09-20 00:25:01 UTC;-1;2.79;0.00;2.20;0.31;0.06;94.64
george;60;2021-09-20 00:26:01 UTC;-1;2.96;0.00;2.41;0.22;0.07;94.33
george;60;2021-09-20 00:27:01 UTC;-1;2.93;0.00;2.40;0.23;0.07;94.37
george;60;2021-09-20 00:28:01 UTC;-1;2.97;0.00;2.27;0.17;0.09;94.50
george;60;2021-09-20 00:29:01 UTC;-1;2.79;0.00;2.27;0.18;0.07;94.70
george;60;2021-09-20 00:30:01 UTC;-1;2.90;0.00;2.37;0.23;0.07;94.42
george;60;2021-09-20 00:31:01 UTC;-1;3.09;0.00;2.32;0.23;0.04;94.31
george;60;2021-09-20 00:32:01 UTC;-1;2.95;0.00;2.38;0.21;0.06;94.39
george;60;2021-09-20 00:33:01 UTC;-1;2.75;0.00;2.32;0.20;0.05;94.67
george;60;2021-09-20 00:34:01 UTC;-1;3.12;0.00;2.41;0.19;0.06;94.22
george;60;2021-09-20 00:35:01 UTC;-1;2.89;0.00;2.24;0.15;0.05;94.67
george;60;2021-09-20 00:36:01 UTC;-1;3.00;0.00;2.20;0.19;0.09;94.53
george;60;2021-09-20 00:37:01 UTC;-1;2.89;0.00;2.44;0.18;0.06;94.43
george;60;2021-09-20 00:38:01 UTC;-1;2.96;0.00;2.54;0.14;0.09;94.27
george;60;2021-09-20 00:39:01 UTC;-1;2.78;0.00;2.32;0.23;0.06;94.63
george;60;2021-09-20 00:40:01 UTC;-1;2.91;0.00;2.29;0.23;0.07;94.51
george;60;2021-09-20 00:41:01 UTC;-1;2.76;0.00;2.34;0.17;0.07;94.66
george;60;2021-09-20 00:42:01 UTC;-1;3.02;0.00;2.34;0.18;0.08;94.37
