# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;184467440737095516;2021-09-20 00:00:01 UTC;3317988;6965628;250128;3.30;131900;3545356;1609384;19.42;1024308;2849344;524
george;60;2021-09-20 00:01:01 UTC;3310568;6958528;257408;3.39;131900;3545628;1626016;19.62;1032556;2849552;784
george;60;2021-09-20 00:02:02 UTC;3317452;6965684;250280;3.30;131900;3545896;1607916;19.40;1025404;2849816;348
george;59;2021-09-20 00:03:01 UTC;3313120;6961632;254340;3.35;131900;3546172;1613028;19.46;1029276;2850088;592
george;60;2021-09-20 00:04:01 UTC;3317948;6966736;249020;3.28;131900;3546440;1605168;19.37;1023504;2850356;452
george;60;2021-09-20 00:05:01 UTC;3317544;6966864;249108;3.28;131900;3546960;1601424;19.32;1023716;2850876;392
george;60;2021-09-20 00:06:01 UTC;3310356;6959924;255836;3.37;131900;3547232;1608252;19.40;1030792;2851148;384
george;60;2021-09-20 00:07:01 UTC;3316388;6966096;249928;3.30;131904;3547364;1607168;19.39;1024928;2851280;440
george;60;2021-09-20 00:08:01 UTC;3312788;6962768;253220;3.34;131904;3547632;1604588;19.36;1028796;2851548;360
george;60;2021-09-20 00:09:01 UTC;3315884;6966284;249556;3.29;131904;3548028;1609548;19.42;1025088;2851944;588
george;60;2021-09-20 00:10:01 UTC;3312576;6963260;252616;3.33;131904;3548292;1606708;19.38;1027788;2852208;348
george;60;2021-09-20 00:11:01 UTC;3304520;6955488;260348;3.43;131904;3548568;1614428;19.48;1035436;2852484;560
george;60;2021-09-20 00:12:01 UTC;3299000;6950244;265768;3.50;131908;3548832;1627156;19.63;1040800;2852748;448
george;60;2021-09-20 00:13:01 UTC;3289700;6941212;274576;3.62;131908;3549092;1624408;19.60;1049656;2853008;424
george;60;2021-09-20 00:14:01 UTC;3315600;6967392;248492;3.28;131908;3549364;1594124;19.23;1022764;2853280;396
george;60;2021-09-20 00:15:01 UTC;3316208;6968264;247900;3.27;131908;3549624;1600328;19.31;1022764;2853540;580
george;60;2021-09-20 00:16:01 UTC;3309364;6961716;254300;3.35;131916;3549900;1613036;19.46;1028868;2853816;524
george;60;2021-09-20 00:17:01 UTC;3314184;6966932;248912;3.28;131916;3550288;1611064;19.44;1023480;2854204;408
george;60;2021-09-20 00:18:01 UTC;3309648;6962804;253080;3.34;131916;3550688;1607476;19.39;1028276;2854604;220
george;60;2021-09-20 00:19:01 UTC;3311412;6964840;251072;3.31;131916;3550956;1606004;19.38;1025972;2854872;208
george;60;2021-09-20 00:20:01 UTC;3310932;6964628;251236;3.31;131916;3551220;1603972;19.35;1025872;2855136;392
george;60;2021-09-20 00:21:01 UTC;3304072;6957924;258140;3.40;131920;3551364;1609680;19.42;1032860;2855280;644
george;60;2021-09-20 00:22:01 UTC;3306716;6960840;255032;3.36;131920;3551628;1607392;19.39;1029716;2855544;568
george;60;2021-09-20 00:23:01 UTC;3304292;6958820;257040;3.39;131920;3552028;1613044;19.46;1032296;2855944;396
george;60;2021-09-20 00:24:01 UTC;3298944;6953744;262172;3.46;131920;3552292;1618540;19.53;1036784;2856208;724
george;60;2021-09-20 00:25:01 UTC;3298156;6953240;262428;3.46;131928;3552564;1617588;19.52;1036900;2856480;416
george;60;2021-09-20 00:26:01 UTC;3290716;6946064;269760;3.56;131932;3552824;1623488;19.59;1045096;2856736;596
george;60;2021-09-20 00:27:01 UTC;3308032;6963796;251868;3.32;131936;3553220;1614028;19.47;1026444;2857136;628
george;60;2021-09-20 00:28:01 UTC;3308292;6964336;251372;3.31;131936;3553488;1619512;19.54;1026744;2857404;816
george;60;2021-09-20 00:29:01 UTC;3304008;6960324;255464;3.37;131936;3553748;1618432;19.53;1029684;2857668;656
george;60;2021-09-20 00:30:01 UTC;3304072;6960712;255084;3.36;131936;3554064;1608084;19.40;1029672;2857940;472
george;60;2021-09-20 00:31:01 UTC;3305788;6962652;253236;3.34;131936;3554288;1597876;19.28;1028944;2858204;708
george;60;2021-09-20 00:32:01 UTC;3304844;6962112;253744;3.35;131936;3554684;1610456;19.43;1029000;2858604;604
george;60;2021-09-20 00:33:01 UTC;3299552;6957600;258152;3.40;131936;3555456;1616532;19.50;1032952;2859376;576
george;60;2021-09-20 00:34:01 UTC;3307332;6965648;250284;3.30;131936;3555720;1607132;19.39;1025848;2859640;364
george;60;2021-09-20 00:35:01 UTC;3306356;6965088;250800;3.31;131936;3556124;1597288;19.27;1025724;2860044;744
george;60;2021-09-20 00:36:01 UTC;3303064;6962064;253680;3.34;131936;3556392;1611532;19.44;1029208;2860308;400
george;60;2021-09-20 00:37:01 UTC;3306568;6965852;249844;3.29;131936;3556664;1610076;19.42;1024680;2860584;920
george;60;2021-09-20 00:38:01 UTC;3303576;6963128;252700;3.33;131940;3556928;1616212;19.50;1028548;2860844;776
george;60;2021-09-20 00:39:01 UTC;3302560;6962524;253212;3.34;131940;3557320;1607188;19.39;1027920;2861240;572
george;60;2021-09-20 00:40:01 UTC;3302064;6962300;253344;3.34;131940;3557588;1605500;19.37;1027992;2861508;840
george;60;2021-09-20 00:41:01 UTC;3296764;6957264;258360;3.41;131940;3557848;1619152;19.53;1033140;2861768;476
george;60;2021-09-20 00:42:01 UTC;3301576;6962356;253376;3.34;131940;3558120;1601888;19.33;1028064;2862040;500
george;60;2021-09-20 00:43:01 UTC;3297268;6958460;257432;3.39;131940;3558516;1600764;19.31;1032308;2862436;516
george;60;2021-09-20 00:44:01 UTC;3301560;6963152;252560;3.33;131940;3558916;1607476;19.39;1027452;2862836;640
george;60;2021-09-20 00:45:01 UTC;3301324;6963332;252480;3.33;131940;3559308;1620432;19.55;1027452;2863228;500
george;60;2021-09-20 00:46:01 UTC;3299016;6961300;254496;3.36;131940;3559576;1609464;19.42;1029140;2863496;708
george;60;2021-09-20 00:47:01 UTC;3302300;6964856;250816;3.31;131940;3559840;1600052;19.30;1025608;2863760;472
george;60;2021-09-20 00:48:01 UTC;3301560;6964276;251180;3.31;131940;3559976;1599208;19.29;1025596;2863896;548
george;60;2021-09-20 00:49:01 UTC;3297456;6960724;255060;3.36;131940;3560520;1612692;19.46;1028948;2864440;576
george;60;2021-09-20 00:50:02 UTC;3297204;6960900;254920;3.36;131940;3560948;1602888;19.34;1028940;2864860;652
george;59;2021-09-20 00:51:01 UTC;3293960;6958072;257696;3.40;131940;3561352;1608864;19.41;1032404;2865268;440
george;60;2021-09-20 00:52:01 UTC;3293172;6957804;257944;3.40;131940;3561868;1621324;19.56;1032452;2865784;488
george;60;2021-09-20 00:53:01 UTC;3293748;6958656;257180;3.39;131940;3562136;1602776;19.34;1032452;2866052;512
george;60;2021-09-20 00:54:01 UTC;3307228;6972420;243332;3.21;131940;3562408;1593868;19.23;1018160;2866324;240
george;60;2021-09-20 00:55:01 UTC;3306316;6971648;244240;3.22;131940;3562544;1600020;19.30;1019672;2866460;740
george;60;2021-09-20 00:56:01 UTC;3297992;6963628;252152;3.32;131940;3562840;1606100;19.38;1027600;2866756;584
george;60;2021-09-20 00:57:01 UTC;3304424;6970396;245328;3.23;131940;3563168;1604692;19.36;1019756;2867084;436
george;60;2021-09-20 00:58:01 UTC;3299348;6965728;250096;3.30;131940;3563564;1603120;19.34;1024808;2867480;532
george;60;2021-09-20 00:59:01 UTC;3299520;6966300;249532;3.29;131940;3563960;1608492;19.41;1023572;2867876;372
george;60;2021-09-20 01:00:01 UTC;3299844;6966952;248852;3.28;131940;3564268;1607088;19.39;1024012;2868140;348
george;60;2021-09-20 01:01:01 UTC;3294732;6962072;253956;3.35;131940;3564496;1605384;19.37;1029096;2868412;324
george;60;2021-09-20 01:02:01 UTC;3296584;6964064;251560;3.32;131940;3564632;1604644;19.36;1026064;2868548;264
george;60;2021-09-20 01:03:01 UTC;3294764;6962672;253052;3.34;131944;3565024;1609736;19.42;1028852;2868940;708
george;60;2021-09-20 01:04:01 UTC;3284904;6953212;262472;3.46;131944;3565420;1615144;19.49;1037496;2869336;188
