# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-19 07:37:01 UTC;5670804;7038264;219496;2.89;91908;1448244;629280;7.59;686552;1020752;392
george;60;2021-09-19 07:38:01 UTC;5664220;7031816;225992;2.98;91916;1448372;618916;7.47;694808;1020884;548
george;60;2021-09-19 07:39:01 UTC;5669268;7037200;220428;2.91;91924;1448700;625344;7.54;688432;1021208;472
george;60;2021-09-19 07:40:01 UTC;5669456;7037676;220136;2.90;91940;1448964;614996;7.42;688292;1021476;336
george;60;2021-09-19 07:41:01 UTC;5662228;7030852;226760;2.99;91952;1449352;613304;7.40;694924;1021864;372
george;60;2021-09-19 07:42:01 UTC;5679364;7048400;209384;2.76;91964;1449748;605272;7.30;677472;1022260;476
george;60;2021-09-19 07:43:01 UTC;5673812;7043128;214544;2.83;91976;1450008;617944;7.46;682996;1022520;728
george;60;2021-09-19 07:44:01 UTC;5667828;7037424;220412;2.91;91988;1450272;615776;7.43;688800;1022784;232
george;60;2021-09-19 07:45:01 UTC;5673820;7043688;214032;2.82;91992;1450536;613692;7.40;681540;1023048;400
george;60;2021-09-19 07:46:01 UTC;5671300;7041428;216324;2.85;91996;1450796;619016;7.47;684312;1023308;680
george;60;2021-09-19 07:47:01 UTC;5663748;7034284;223452;2.95;91996;1451192;616380;7.44;692172;1023704;396
george;60;2021-09-19 07:48:01 UTC;5668992;7039800;218140;2.88;92008;1451452;606884;7.32;686252;1023964;624
george;60;2021-09-19 07:49:01 UTC;5666636;7037720;220016;2.90;92020;1451712;627596;7.57;687092;1024224;536
george;60;2021-09-19 07:50:01 UTC;5678568;7049948;207764;2.74;92044;1451980;604292;7.29;675440;1024492;428
george;60;2021-09-19 07:51:01 UTC;5678316;7049964;207864;2.74;92048;1452240;608856;7.35;676480;1024752;824
george;60;2021-09-19 07:52:01 UTC;5669416;7041332;216316;2.85;92052;1452500;621624;7.50;684500;1025012;500
george;60;2021-09-19 07:53:01 UTC;5672220;7044400;213308;2.81;92052;1452764;604320;7.29;681348;1025276;528
george;60;2021-09-19 07:54:01 UTC;5671480;7043940;213788;2.82;92064;1453024;602032;7.26;681404;1025536;448
george;60;2021-09-19 07:55:01 UTC;5665764;7038632;219096;2.89;92072;1453420;623480;7.52;687228;1025932;596
george;60;2021-09-19 07:56:01 UTC;5669708;7042852;214808;2.83;92080;1453684;615096;7.42;682608;1026196;360
george;60;2021-09-19 07:57:01 UTC;5667220;7040652;216896;2.86;92096;1453944;612924;7.39;684744;1026456;432
george;60;2021-09-19 07:58:02 UTC;5661920;7035884;221600;2.92;92100;1454468;619500;7.47;689808;1026980;644
george;59;2021-09-19 07:59:01 UTC;5664392;7038500;219160;2.89;92112;1454600;624876;7.54;687080;1027112;544
george;60;2021-09-19 08:00:01 UTC;5663952;7038500;219128;2.89;92116;1455028;623448;7.52;687440;1027492;676
george;60;2021-09-19 08:01:01 UTC;5656660;7031436;226104;2.98;92120;1455248;628500;7.58;695008;1027756;376
george;60;2021-09-19 08:02:01 UTC;5672552;7047604;210096;2.77;92136;1455508;604504;7.29;678676;1028016;380
george;60;2021-09-19 08:03:01 UTC;5668016;7043344;214300;2.83;92148;1455768;616940;7.44;682532;1028280;408
george;60;2021-09-19 08:04:01 UTC;5658816;7034424;223148;2.94;92160;1456032;622264;7.51;690444;1028540;324
george;60;2021-09-19 08:05:01 UTC;5666944;7042884;214636;2.83;92164;1456356;612056;7.38;682128;1028864;768
george;60;2021-09-19 08:06:01 UTC;5663952;7040292;217296;2.86;92168;1456748;617572;7.45;684656;1029260;324
george;60;2021-09-19 08:07:01 UTC;5663400;7040012;217424;2.87;92176;1457012;616000;7.43;685308;1029520;424
george;60;2021-09-19 08:08:01 UTC;5662904;7040048;217572;2.87;92184;1457532;614232;7.41;685316;1030044;560
george;60;2021-09-19 08:09:01 UTC;5658148;7035568;221944;2.93;92192;1457792;612156;7.39;690612;1030304;688
george;60;2021-09-19 08:10:01 UTC;5668480;7046168;211348;2.79;92196;1458052;618200;7.46;678848;1030564;528
george;60;2021-09-19 08:11:01 UTC;5668732;7046696;210868;2.78;92204;1458320;607588;7.33;678856;1030832;688
george;60;2021-09-19 08:12:01 UTC;5662432;7040672;216696;2.86;92212;1458584;612964;7.40;685356;1031096;404
george;60;2021-09-19 08:13:01 UTC;5664196;7042716;214864;2.83;92224;1458844;612064;7.38;682468;1031356;472
george;60;2021-09-19 08:14:01 UTC;5664424;7043348;214124;2.82;92228;1459240;617940;7.46;682844;1031748;392
