# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
george;60;2021-09-19 18:01:01 UTC;-1;4.17;0.00;1.76;2.34;0.03;91.70
george;60;2021-09-19 18:02:01 UTC;-1;0.18;0.00;0.13;0.80;0.00;98.88
george;60;2021-09-19 18:03:01 UTC;-1;0.18;0.00;0.17;0.18;0.01;99.47
george;60;2021-09-19 18:04:01 UTC;-1;0.14;0.00;0.13;0.15;0.02;99.57
george;60;2021-09-19 18:05:01 UTC;-1;0.17;0.00;0.14;0.17;0.01;99.52
george;60;2021-09-19 18:06:01 UTC;-1;0.16;0.00;0.14;0.17;0.01;99.52
george;60;2021-09-19 18:07:01 UTC;-1;0.13;0.00;0.13;0.15;0.01;99.58
george;60;2021-09-19 18:08:01 UTC;-1;0.14;0.00;0.13;0.22;0.01;99.50
george;60;2021-09-19 18:09:01 UTC;-1;0.16;0.00;0.14;0.15;0.01;99.54
george;60;2021-09-19 18:10:01 UTC;-1;0.18;0.00;0.10;0.36;0.01;99.35
george;60;2021-09-19 18:11:01 UTC;-1;0.14;0.00;0.13;0.27;0.01;99.46
george;60;2021-09-19 18:12:01 UTC;-1;0.18;0.00;0.12;0.19;0.00;99.50
george;60;2021-09-19 18:13:01 UTC;-1;0.15;0.00;0.15;0.18;0.01;99.51
george;60;2021-09-19 18:14:01 UTC;-1;0.16;0.00;0.12;0.19;0.01;99.52
george;60;2021-09-19 18:15:01 UTC;-1;0.14;0.00;0.12;0.25;0.00;99.49
george;60;2021-09-19 18:16:01 UTC;-1;0.19;0.00;0.10;0.16;0.01;99.55
george;60;2021-09-19 18:17:01 UTC;-1;0.18;0.00;0.14;0.28;0.01;99.40
george;60;2021-09-19 18:18:01 UTC;-1;0.18;0.00;0.13;0.23;0.01;99.44
george;60;2021-09-19 18:19:01 UTC;-1;0.14;0.00;0.11;0.22;0.00;99.53
george;60;2021-09-19 18:20:01 UTC;-1;0.15;0.00;0.15;0.21;0.01;99.47
george;60;2021-09-19 18:21:01 UTC;-1;0.13;0.00;0.16;0.23;0.01;99.46
george;60;2021-09-19 18:22:02 UTC;-1;0.17;0.00;0.11;0.23;0.01;99.48
george;59;2021-09-19 18:23:01 UTC;-1;0.14;0.00;0.10;0.30;0.01;99.46
george;60;2021-09-19 18:24:01 UTC;-1;0.17;0.00;0.13;0.18;0.01;99.52
george;60;2021-09-19 18:25:01 UTC;-1;0.16;0.00;0.13;0.11;0.01;99.60
george;60;2021-09-19 18:26:01 UTC;-1;0.16;0.00;0.13;0.16;0.00;99.54
george;60;2021-09-19 18:27:01 UTC;-1;0.16;0.00;0.11;0.23;0.01;99.49
george;60;2021-09-19 18:28:01 UTC;-1;0.14;0.00;0.13;0.22;0.01;99.49
george;60;2021-09-19 18:29:01 UTC;-1;0.16;0.00;0.16;0.29;0.00;99.38
george;60;2021-09-19 18:30:01 UTC;-1;0.15;0.00;0.13;0.21;0.02;99.49
george;60;2021-09-19 18:31:01 UTC;-1;0.18;0.00;0.10;0.24;0.00;99.48
george;60;2021-09-19 18:32:01 UTC;-1;0.17;0.00;0.13;0.23;0.01;99.47
george;60;2021-09-19 18:33:01 UTC;-1;0.18;0.00;0.13;0.24;0.01;99.44
george;60;2021-09-19 18:34:01 UTC;-1;0.15;0.00;0.13;0.33;0.01;99.38
george;60;2021-09-19 18:35:01 UTC;-1;0.15;0.00;0.13;0.23;0.01;99.47
george;60;2021-09-19 18:36:01 UTC;-1;0.15;0.00;0.14;0.22;0.00;99.49
george;60;2021-09-19 18:37:01 UTC;-1;0.17;0.00;0.12;0.27;0.02;99.42
george;60;2021-09-19 18:38:01 UTC;-1;0.14;0.00;0.13;0.26;0.00;99.47
george;60;2021-09-19 18:39:01 UTC;-1;0.16;0.00;0.13;0.18;0.00;99.52
george;60;2021-09-19 18:40:01 UTC;-1;0.18;0.00;0.13;0.29;0.01;99.39
george;60;2021-09-19 18:41:01 UTC;-1;0.17;0.00;0.13;0.41;0.01;99.29
george;60;2021-09-19 18:42:01 UTC;-1;0.16;0.00;0.10;0.26;0.01;99.47
george;60;2021-09-19 18:43:01 UTC;-1;0.13;0.00;0.14;0.21;0.00;99.51
george;60;2021-09-19 18:44:01 UTC;-1;0.19;0.00;0.14;0.27;0.02;99.39
george;60;2021-09-19 18:45:01 UTC;-1;0.16;0.00;0.12;0.23;0.01;99.49
george;60;2021-09-19 18:46:01 UTC;-1;0.15;0.00;0.12;0.16;0.01;99.55
george;60;2021-09-19 18:47:01 UTC;-1;0.13;0.00;0.17;0.26;0.00;99.43
george;60;2021-09-19 18:48:01 UTC;-1;0.20;0.00;0.10;0.25;0.01;99.44
george;60;2021-09-19 18:49:01 UTC;-1;0.15;0.00;0.15;0.35;0.01;99.34
george;60;2021-09-19 18:50:01 UTC;-1;0.16;0.00;0.13;0.28;0.01;99.42
george;60;2021-09-19 18:51:01 UTC;-1;0.16;0.00;0.11;0.24;0.01;99.47
george;60;2021-09-19 18:52:01 UTC;-1;0.19;0.00;0.13;0.20;0.00;99.49
george;60;2021-09-19 18:53:01 UTC;-1;0.14;0.00;0.14;0.26;0.02;99.44
george;60;2021-09-19 18:54:01 UTC;-1;0.16;0.00;0.15;0.29;0.01;99.40
george;60;2021-09-19 18:55:01 UTC;-1;0.16;0.00;0.15;0.22;0.00;99.47
george;60;2021-09-19 18:56:01 UTC;-1;0.16;0.00;0.13;0.24;0.01;99.45
george;60;2021-09-19 18:57:01 UTC;-1;0.14;0.00;0.13;0.24;0.02;99.47
george;60;2021-09-19 18:58:01 UTC;-1;0.18;0.00;0.11;0.34;0.01;99.36
george;60;2021-09-19 18:59:01 UTC;-1;0.15;0.00;0.15;0.28;0.01;99.41
george;60;2021-09-19 19:00:01 UTC;-1;0.15;0.00;0.10;0.23;0.01;99.50
george;60;2021-09-19 19:01:01 UTC;-1;0.14;0.00;0.13;0.26;0.00;99.46
george;60;2021-09-19 19:02:01 UTC;-1;0.16;0.00;0.13;0.30;0.01;99.40
george;60;2021-09-19 19:03:01 UTC;-1;0.17;0.00;0.13;0.29;0.01;99.40
george;60;2021-09-19 19:04:01 UTC;-1;0.16;0.00;0.11;0.38;0.01;99.34
george;60;2021-09-19 19:05:01 UTC;-1;0.15;0.00;0.11;0.19;0.00;99.54
george;60;2021-09-19 19:06:01 UTC;-1;0.16;0.00;0.13;0.28;0.01;99.42
george;60;2021-09-19 19:07:01 UTC;-1;0.16;0.00;0.13;0.28;0.00;99.42
george;60;2021-09-19 19:08:01 UTC;-1;0.16;0.00;0.10;0.31;0.02;99.40
george;60;2021-09-19 19:09:01 UTC;-1;0.15;0.00;0.13;0.21;0.00;99.50
george;60;2021-09-19 19:10:02 UTC;-1;0.15;0.00;0.13;0.27;0.01;99.44
george;59;2021-09-19 19:11:01 UTC;-1;0.17;0.00;0.13;0.40;0.01;99.29
george;60;2021-09-19 19:12:01 UTC;-1;0.16;0.00;0.09;0.28;0.01;99.46
george;60;2021-09-19 19:13:01 UTC;-1;0.15;0.00;0.11;0.28;0.01;99.45
george;60;2021-09-19 19:14:01 UTC;-1;0.17;0.00;0.13;0.23;0.00;99.46
george;60;2021-09-19 19:15:01 UTC;-1;0.18;0.00;0.12;0.23;0.01;99.46
george;60;2021-09-19 19:16:01 UTC;-1;0.15;0.00;0.10;0.29;0.02;99.44
george;60;2021-09-19 19:17:01 UTC;-1;0.16;0.00;0.12;0.40;0.00;99.32
george;60;2021-09-19 19:18:01 UTC;-1;0.17;0.00;0.12;0.26;0.02;99.44
george;60;2021-09-19 19:19:01 UTC;-1;0.16;0.00;0.14;0.22;0.01;99.47
george;60;2021-09-19 19:20:01 UTC;-1;0.15;0.00;0.10;0.26;0.01;99.48
george;60;2021-09-19 19:21:01 UTC;-1;0.17;0.00;0.11;0.20;0.00;99.51
george;60;2021-09-19 19:22:01 UTC;-1;0.18;0.00;0.13;0.21;0.03;99.46
george;60;2021-09-19 19:23:01 UTC;-1;0.16;0.00;0.10;0.21;0.01;99.51
george;60;2021-09-19 19:24:01 UTC;-1;0.15;0.00;0.13;0.28;0.01;99.43
george;60;2021-09-19 19:25:01 UTC;-1;0.15;0.00;0.14;0.23;0.01;99.47
george;60;2021-09-19 19:26:01 UTC;-1;0.16;0.00;0.12;0.23;0.01;99.48
george;60;2021-09-19 19:27:01 UTC;-1;0.17;0.00;0.12;0.23;0.02;99.46
george;60;2021-09-19 19:28:01 UTC;-1;0.13;0.00;0.11;0.23;0.00;99.52
george;60;2021-09-19 19:29:01 UTC;-1;0.16;0.00;0.15;0.25;0.02;99.43
george;60;2021-09-19 19:30:01 UTC;-1;0.18;0.00;0.12;0.25;0.01;99.44
george;60;2021-09-19 19:31:01 UTC;-1;0.16;0.00;0.10;0.22;0.01;99.51
george;60;2021-09-19 19:32:01 UTC;-1;0.16;0.00;0.11;0.15;0.01;99.57
george;60;2021-09-19 19:33:01 UTC;-1;0.18;0.00;0.14;0.16;0.01;99.52
george;60;2021-09-19 19:34:01 UTC;-1;0.17;0.00;0.11;0.48;0.00;99.23
george;60;2021-09-19 19:35:01 UTC;-1;0.14;0.00;0.11;0.14;0.01;99.59
george;60;2021-09-19 19:36:01 UTC;-1;0.16;0.00;0.11;0.26;0.01;99.46
george;60;2021-09-19 19:37:01 UTC;-1;0.18;0.00;0.12;0.17;0.01;99.52
george;60;2021-09-19 19:38:01 UTC;-1;0.17;0.00;0.10;0.18;0.01;99.54
george;60;2021-09-19 19:39:01 UTC;-1;0.15;0.00;0.13;0.16;0.02;99.54
george;60;2021-09-19 19:40:01 UTC;-1;0.16;0.00;0.13;0.16;0.01;99.54
george;60;2021-09-19 19:41:01 UTC;-1;0.15;0.00;0.15;0.18;0.00;99.52
george;60;2021-09-19 19:42:01 UTC;-1;0.17;0.00;0.15;0.24;0.01;99.43
george;60;2021-09-19 19:43:01 UTC;-1;0.15;0.00;0.10;0.31;0.01;99.41
george;60;2021-09-19 19:44:01 UTC;-1;0.17;0.00;0.12;0.23;0.01;99.47
george;60;2021-09-19 19:45:01 UTC;-1;0.18;0.00;0.13;0.20;0.01;99.48
george;60;2021-09-19 19:46:01 UTC;-1;0.16;0.00;0.13;0.20;0.02;99.49
george;60;2021-09-19 19:47:01 UTC;-1;0.15;0.00;0.11;0.28;0.01;99.45
george;60;2021-09-19 19:48:01 UTC;-1;0.16;0.00;0.14;0.29;0.01;99.40
george;60;2021-09-19 19:49:01 UTC;-1;0.16;0.00;0.13;0.33;0.00;99.38
george;60;2021-09-19 19:50:01 UTC;-1;0.15;0.00;0.11;0.22;0.00;99.51
george;60;2021-09-19 19:51:01 UTC;-1;0.14;0.00;0.11;0.20;0.01;99.54
george;60;2021-09-19 19:52:01 UTC;-1;0.16;0.00;0.14;0.23;0.01;99.46
george;60;2021-09-19 19:53:01 UTC;-1;0.16;0.00;0.16;0.34;0.01;99.33
george;60;2021-09-19 19:54:01 UTC;-1;0.17;0.00;0.11;0.33;0.01;99.38
george;60;2021-09-19 19:55:01 UTC;-1;0.14;0.00;0.14;0.27;0.01;99.44
george;60;2021-09-19 19:56:01 UTC;-1;0.16;0.00;0.13;0.21;0.00;99.49
george;60;2021-09-19 19:57:01 UTC;-1;0.17;0.00;0.13;0.19;0.01;99.50
george;60;2021-09-19 19:58:01 UTC;-1;0.14;0.00;0.10;0.21;0.02;99.53
george;60;2021-09-19 19:59:01 UTC;-1;0.17;0.00;0.12;0.16;0.01;99.54
george;60;2021-09-19 20:00:01 UTC;-1;0.13;0.00;0.15;0.37;0.01;99.35
george;60;2021-09-19 20:01:01 UTC;-1;0.15;0.00;0.11;0.23;0.01;99.49
george;60;2021-09-19 20:02:02 UTC;-1;0.14;0.00;0.12;0.20;0.01;99.53
george;59;2021-09-19 20:03:01 UTC;-1;0.17;0.00;0.13;0.11;0.01;99.58
george;60;2021-09-19 20:04:01 UTC;-1;0.17;0.00;0.12;0.15;0.01;99.55
george;60;2021-09-19 20:05:01 UTC;-1;0.15;0.00;0.12;0.20;0.02;99.51
george;60;2021-09-19 20:06:01 UTC;-1;0.16;0.00;0.12;0.16;0.01;99.55
george;60;2021-09-19 20:07:01 UTC;-1;0.18;0.00;0.13;0.32;0.01;99.36
george;60;2021-09-19 20:08:01 UTC;-1;0.15;0.00;0.15;0.24;0.01;99.46
