# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-19 18:01:01 UTC;4148028;7046992;166812;2.20;118260;2859020;1093268;13.19;913836;2179188;940
george;60;2021-09-19 18:02:01 UTC;4151732;7051000;163220;2.15;118260;2859020;1089448;13.14;910492;2179496;84
george;60;2021-09-19 18:03:01 UTC;4162032;7061588;152912;2.02;118260;2859028;1085676;13.10;899788;2179780;152
george;60;2021-09-19 18:04:01 UTC;4162008;7061660;152924;2.02;118260;2859036;1089820;13.15;900128;2179876;304
george;60;2021-09-19 18:05:01 UTC;4164024;7063812;150548;1.98;118260;2859172;1094268;13.20;897144;2180012;168
george;60;2021-09-19 18:06:01 UTC;4163796;7063696;150724;1.99;118264;2859176;1084968;13.09;897184;2180120;256
george;60;2021-09-19 18:07:01 UTC;4163796;7063740;150828;1.99;118264;2859184;1091008;13.16;897224;2180160;608
george;60;2021-09-19 18:08:01 UTC;4165088;7065080;149716;1.97;118264;2859188;1087824;13.12;897444;2180208;536
george;60;2021-09-19 18:09:01 UTC;4164332;7064524;150264;1.98;118264;2859324;1084908;13.09;897428;2180408;580
george;60;2021-09-19 18:10:01 UTC;4164292;7064520;150280;1.98;118264;2859328;1089424;13.14;897660;2180444;440
george;60;2021-09-19 18:11:01 UTC;4164016;7064280;150632;1.99;118264;2859332;1085396;13.09;897756;2180480;480
george;60;2021-09-19 18:12:01 UTC;4163992;7064284;150568;1.99;118264;2859344;1082812;13.06;897984;2180492;392
george;60;2021-09-19 18:13:01 UTC;4163788;7064240;150720;1.99;118264;2859476;1095988;13.22;897884;2180652;392
george;60;2021-09-19 18:14:01 UTC;4163284;7063780;151136;1.99;118264;2859480;1085440;13.10;897864;2180692;436
george;60;2021-09-19 18:15:01 UTC;4163008;7063520;151296;1.99;118264;2859484;1082324;13.06;898040;2180692;228
george;60;2021-09-19 18:16:01 UTC;4162772;7063316;151508;2.00;118268;2859492;1086560;13.11;898084;2180704;252
george;60;2021-09-19 18:17:01 UTC;4162416;7063032;151932;2.00;118268;2859496;1082624;13.06;898968;2180772;84
george;60;2021-09-19 18:18:01 UTC;4162480;7063264;151720;2.00;118268;2859632;1086652;13.11;898452;2180940;92
george;60;2021-09-19 18:19:01 UTC;4162456;7063264;151644;2.00;118272;2859636;1082988;13.07;898588;2180944;164
