# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
george;60;2021-09-19 13:39:01 UTC;5123312;7139236;85460;1.13;102920;2053980;263788;3.18;708100;1487856;148
george;60;2021-09-19 13:40:01 UTC;5123840;7139772;84908;1.12;102920;2053988;252592;3.05;708180;1487860;200
george;60;2021-09-19 13:41:01 UTC;5123604;7139544;85128;1.12;102920;2053992;256828;3.10;708340;1487864;220
george;60;2021-09-19 13:42:01 UTC;5122336;7138292;86168;1.14;102932;2053996;269128;3.25;708420;1487868;112
george;60;2021-09-19 13:43:01 UTC;5122084;7138052;86284;1.14;102932;2054008;266324;3.21;708532;1487880;136
george;60;2021-09-19 13:44:01 UTC;5122312;7138284;86016;1.13;102940;2054008;270768;3.27;708656;1487880;136
george;60;2021-09-19 13:45:01 UTC;5121996;7138100;86364;1.14;102944;2054128;268152;3.24;708704;1488000;136
george;60;2021-09-19 13:46:01 UTC;5122208;7138484;85784;1.13;102944;2054296;264968;3.20;708772;1488164;112
george;60;2021-09-19 13:47:01 UTC;5121744;7138152;86164;1.14;102944;2054428;268772;3.24;708924;1488296;124
george;60;2021-09-19 13:48:01 UTC;5121752;7138176;86100;1.14;102944;2054436;272680;3.29;709000;1488308;96
george;60;2021-09-19 13:49:01 UTC;5121956;7138380;85876;1.13;102944;2054440;261812;3.16;709084;1488308;204
george;60;2021-09-19 13:50:01 UTC;5120744;7137256;87132;1.15;102952;2054500;274364;3.31;709224;1488376;204
george;60;2021-09-19 13:51:01 UTC;5120664;7137320;87140;1.15;102952;2054644;271816;3.28;709268;1488516;204
george;60;2021-09-19 13:52:01 UTC;5121500;7138288;86168;1.14;102952;2054776;267552;3.23;709428;1488648;112
george;60;2021-09-19 13:53:01 UTC;5121216;7138012;86432;1.14;102952;2054784;271596;3.28;709464;1488656;100
george;60;2021-09-19 13:54:01 UTC;5120240;7137044;87392;1.15;102956;2054788;267380;3.23;709572;1488660;172
george;60;2021-09-19 13:55:01 UTC;5120736;7137544;86876;1.15;102956;2054792;272244;3.28;709724;1488664;8
george;60;2021-09-19 13:56:01 UTC;5119876;7136700;87672;1.16;102956;2054804;268068;3.23;709792;1488676;148
george;60;2021-09-19 13:57:01 UTC;5120232;7137068;87292;1.15;102956;2054808;265080;3.20;709908;1488680;180
george;60;2021-09-19 13:58:01 UTC;5120476;7137312;87032;1.15;102956;2054812;269524;3.25;709916;1488680;524
george;60;2021-09-19 13:59:01 UTC;5119476;7136396;87932;1.16;102960;2054888;266340;3.21;710088;1488756;136
george;60;2021-09-19 14:00:01 UTC;5118972;7136024;88208;1.16;102960;2055016;262968;3.17;710152;1488888;140
george;60;2021-09-19 14:01:01 UTC;5119176;7136364;87912;1.16;102960;2055152;266776;3.22;710268;1489024;304
george;60;2021-09-19 14:02:01 UTC;5119064;7136260;88224;1.16;102964;2055156;263628;3.18;710392;1489028;0
george;60;2021-09-19 14:03:01 UTC;5119812;7137016;87432;1.15;102968;2055160;267916;3.23;710452;1489032;308
george;60;2021-09-19 14:04:01 UTC;5118340;7135556;88748;1.17;102968;2055168;265304;3.20;710692;1489040;128
george;60;2021-09-19 14:05:01 UTC;5118664;7136020;88316;1.16;102976;2055300;270144;3.26;710688;1489172;8
george;60;2021-09-19 14:06:01 UTC;5118136;7135500;88800;1.17;102976;2055308;267760;3.23;710752;1489180;208
george;60;2021-09-19 14:07:01 UTC;5117876;7135248;89060;1.17;102976;2055316;265080;3.20;711072;1489188;236
george;60;2021-09-19 14:08:01 UTC;5118884;7136260;88080;1.16;102976;2055320;270744;3.27;711112;1489192;144
george;60;2021-09-19 14:09:01 UTC;5118632;7136020;88312;1.16;102976;2055328;266648;3.22;711200;1489200;324
george;60;2021-09-19 14:10:01 UTC;5117608;7135132;89192;1.18;102976;2055460;263472;3.18;711208;1489328;88
george;60;2021-09-19 14:11:01 UTC;5117892;7135428;88816;1.17;102976;2055460;269044;3.25;711256;1489332;124
george;60;2021-09-19 14:12:01 UTC;5118128;7135672;88716;1.17;102976;2055468;274744;3.31;711480;1489340;236
george;60;2021-09-19 14:13:01 UTC;5117632;7135180;89112;1.17;102976;2055472;271800;3.28;711428;1489344;96
george;60;2021-09-19 14:14:01 UTC;5117884;7135560;88708;1.17;102976;2055608;260328;3.14;711596;1489472;212
george;60;2021-09-19 14:15:01 UTC;5117324;7135024;89244;1.18;102976;2055616;257608;3.11;711720;1489488;160
george;60;2021-09-19 14:16:01 UTC;5117576;7135280;88960;1.17;102976;2055620;261780;3.16;711840;1489492;152
george;60;2021-09-19 14:17:01 UTC;5116544;7134260;90068;1.19;102976;2055628;265824;3.21;712592;1489500;212
george;60;2021-09-19 14:18:01 UTC;5117104;7134832;89500;1.18;102976;2055632;270056;3.26;711924;1489504;88
george;60;2021-09-19 14:19:01 UTC;5117356;7135208;89320;1.18;102980;2055764;267008;3.22;712024;1489628;120
george;60;2021-09-19 14:20:01 UTC;5117096;7134972;89348;1.18;102980;2055772;271656;3.28;712196;1489644;164
george;60;2021-09-19 14:21:01 UTC;5116836;7134720;89692;1.18;102984;2055776;275824;3.33;712288;1489648;112
george;60;2021-09-19 14:22:01 UTC;5117080;7134980;89388;1.18;102984;2055784;271620;3.28;712352;1489656;160
