# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
ubuntu-server-base;60;2021-09-08 00:03:02 UTC;-1;3.45;0.00;2.92;0.15;0.02;93.47
ubuntu-server-base;59;2021-09-08 00:04:01 UTC;-1;3.38;0.00;2.89;0.18;0.02;93.53
ubuntu-server-base;60;2021-09-08 00:05:01 UTC;-1;3.55;0.00;3.06;0.19;0.03;93.18
ubuntu-server-base;60;2021-09-08 00:06:01 UTC;-1;3.54;0.00;2.91;0.13;0.03;93.40
ubuntu-server-base;60;2021-09-08 00:07:01 UTC;-1;3.39;0.00;2.94;0.17;0.00;93.48
ubuntu-server-base;60;2021-09-08 00:08:01 UTC;-1;3.56;0.00;2.90;0.19;0.03;93.33
ubuntu-server-base;60;2021-09-08 00:09:01 UTC;-1;3.46;0.00;3.03;0.17;0.02;93.31
ubuntu-server-base;60;2021-09-08 00:10:01 UTC;-1;3.36;0.00;2.94;0.12;0.03;93.55
ubuntu-server-base;60;2021-09-08 00:11:01 UTC;-1;3.51;0.00;2.87;0.24;0.01;93.38
ubuntu-server-base;60;2021-09-08 00:12:01 UTC;-1;3.66;0.00;2.85;0.17;0.02;93.30
ubuntu-server-base;60;2021-09-08 00:13:01 UTC;-1;3.46;0.00;2.98;0.28;0.02;93.27
ubuntu-server-base;60;2021-09-08 00:14:01 UTC;-1;3.40;0.00;2.91;0.15;0.02;93.52
ubuntu-server-base;60;2021-09-08 00:15:01 UTC;-1;3.50;0.00;2.79;0.14;0.02;93.56
ubuntu-server-base;60;2021-09-08 00:16:01 UTC;-1;3.59;0.00;3.17;0.14;0.03;93.08
ubuntu-server-base;60;2021-09-08 00:17:01 UTC;-1;3.51;0.00;2.86;0.19;0.02;93.42
ubuntu-server-base;60;2021-09-08 00:18:01 UTC;-1;3.39;0.00;2.77;0.14;0.02;93.68
ubuntu-server-base;60;2021-09-08 00:19:01 UTC;-1;3.44;0.00;2.86;0.17;0.04;93.50
ubuntu-server-base;60;2021-09-08 00:20:01 UTC;-1;3.65;0.00;3.08;0.20;0.01;93.06
ubuntu-server-base;60;2021-09-08 00:21:01 UTC;-1;3.40;0.00;2.88;0.20;0.03;93.49
ubuntu-server-base;60;2021-09-08 00:22:01 UTC;-1;3.37;0.00;2.82;0.26;0.01;93.54
ubuntu-server-base;60;2021-09-08 00:23:01 UTC;-1;3.58;0.00;2.93;0.14;0.02;93.33
ubuntu-server-base;60;2021-09-08 00:24:01 UTC;-1;3.50;0.00;2.96;0.18;0.02;93.35
ubuntu-server-base;60;2021-09-08 00:25:01 UTC;-1;3.46;0.00;3.01;0.17;0.02;93.33
