# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
ubuntu-server-base;60;2021-09-08 00:03:02 UTC;3954092;5967488;1248620;16.46;123856;2010980;5451376;65.77;1614568;1701804;636
ubuntu-server-base;59;2021-09-08 00:04:01 UTC;3948684;5962496;1253816;16.53;123860;2011384;5458404;65.85;1619672;1702200;508
ubuntu-server-base;60;2021-09-08 00:05:01 UTC;3969528;5983624;1232568;16.25;123864;2011656;5435400;65.57;1599068;1702472;328
ubuntu-server-base;60;2021-09-08 00:06:01 UTC;3976348;5990736;1225408;16.16;123868;2011928;5435544;65.58;1591544;1702744;640
ubuntu-server-base;60;2021-09-08 00:07:01 UTC;3973260;5987936;1228324;16.19;123880;2012200;5426544;65.47;1593864;1703020;480
ubuntu-server-base;60;2021-09-08 00:08:01 UTC;3973772;5988852;1227256;16.18;123884;2012596;5433852;65.56;1593508;1703416;476
ubuntu-server-base;60;2021-09-08 00:09:01 UTC;3969316;5984684;1231352;16.23;123892;2012864;5433176;65.55;1597292;1703684;428
ubuntu-server-base;60;2021-09-08 00:10:01 UTC;3968528;5984188;1231964;16.24;123892;2013144;5432884;65.54;1597920;1703964;684
ubuntu-server-base;60;2021-09-08 00:11:01 UTC;3963740;5979804;1236344;16.30;123896;2013540;5439148;65.62;1603588;1704360;408
ubuntu-server-base;60;2021-09-08 00:12:01 UTC;3957644;5973996;1241860;16.37;123904;2013812;5453740;65.80;1608568;1704632;516
ubuntu-server-base;60;2021-09-08 00:13:01 UTC;3960668;5977432;1238520;16.33;123904;2014216;5446276;65.71;1605608;1705036;372
ubuntu-server-base;60;2021-09-08 00:14:01 UTC;3962020;5979084;1236996;16.31;123904;2014492;5444992;65.69;1603136;1705312;272
ubuntu-server-base;60;2021-09-08 00:15:01 UTC;3964124;5981472;1234648;16.28;123904;2014772;5435872;65.58;1600544;1705584;812
ubuntu-server-base;60;2021-09-08 00:16:01 UTC;3966756;5984520;1231604;16.24;123916;2015164;5434496;65.56;1597988;1705980;608
ubuntu-server-base;60;2021-09-08 00:17:01 UTC;3962220;5980268;1235776;16.29;123916;2015440;5442020;65.65;1601264;1706260;640
ubuntu-server-base;60;2021-09-08 00:18:01 UTC;3963960;5982408;1233840;16.27;123916;2015836;5434412;65.56;1600140;1706656;752
ubuntu-server-base;60;2021-09-08 00:19:01 UTC;3958700;5977436;1238944;16.33;123920;2016112;5440888;65.64;1606120;1706928;640
ubuntu-server-base;60;2021-09-08 00:20:01 UTC;3958440;5977468;1238716;16.33;123928;2016388;5439748;65.63;1605432;1707208;496
ubuntu-server-base;60;2021-09-08 00:21:01 UTC;3957432;5976744;1239564;16.34;123928;2016656;5439804;65.63;1604828;1707476;460
ubuntu-server-base;60;2021-09-08 00:22:01 UTC;3953416;5973020;1243144;16.39;123936;2016932;5439208;65.62;1608784;1707752;432
ubuntu-server-base;60;2021-09-08 00:23:01 UTC;3950824;5970960;1245124;16.42;123936;2017456;5439172;65.62;1610908;1708276;656
ubuntu-server-base;60;2021-09-08 00:24:01 UTC;3952344;5972772;1243172;16.39;123940;2017728;5438384;65.61;1608800;1708548;524
